time_sec_p1,time_sec_p2,time_sec_p3,time_min_total,videotime,yearDOB,gender,race,raceOther,state,education,income,adults,minors,frequencyPrior,frequencySince,platform,time,qID,respID,choice,altID,obsID,price,quantity,material,setOptions,set_price,total_price,material_Bamboo,material_Eco,material_Plastic,setOptions_f,setOptions_fk,setOptions_fks
24,9124,57,153.41666666666666,8983,1987,man,white,NA,MD,degree_grad,incH_100to150,4,2,month_2-3,month_2-3,boxstores,32,1,1,0,1,1,20,200,Bamboo,f,0.4,80,1,0,0,1,0,0
24,9124,57,153.41666666666666,8983,1987,man,white,NA,MD,degree_grad,incH_100to150,4,2,month_2-3,month_2-3,boxstores,32,1,1,0,2,1,25,150,Eco,fk,0.5,75,0,1,0,0,1,0
24,9124,57,153.41666666666666,8983,1987,man,white,NA,MD,degree_grad,incH_100to150,4,2,month_2-3,month_2-3,boxstores,32,1,1,1,3,1,20,50,Plastic,f,0.4,20,0,0,1,1,0,0
24,9124,57,153.41666666666666,8983,1987,man,white,NA,MD,degree_grad,incH_100to150,4,2,month_2-3,month_2-3,boxstores,23,2,1,1,1,2,20,50,Bamboo,fk,0.4,20,1,0,0,0,1,0
24,9124,57,153.41666666666666,8983,1987,man,white,NA,MD,degree_grad,incH_100to150,4,2,month_2-3,month_2-3,boxstores,23,2,1,0,2,2,30,50,Eco,f,0.6,30,0,1,0,1,0,0
24,9124,57,153.41666666666666,8983,1987,man,white,NA,MD,degree_grad,incH_100to150,4,2,month_2-3,month_2-3,boxstores,23,2,1,0,3,2,30,200,Plastic,fks,0.6,120,0,0,1,0,0,1
24,9124,57,153.41666666666666,8983,1987,man,white,NA,MD,degree_grad,incH_100to150,4,2,month_2-3,month_2-3,boxstores,10,3,1,0,1,3,25,200,Bamboo,fks,0.5,100,1,0,0,0,0,1
24,9124,57,153.41666666666666,8983,1987,man,white,NA,MD,degree_grad,incH_100to150,4,2,month_2-3,month_2-3,boxstores,10,3,1,1,2,3,25,50,Eco,f,0.5,25,0,1,0,1,0,0
24,9124,57,153.41666666666666,8983,1987,man,white,NA,MD,degree_grad,incH_100to150,4,2,month_2-3,month_2-3,boxstores,10,3,1,0,3,3,20,200,Plastic,fks,0.4,80,0,0,1,0,0,1
24,9124,57,153.41666666666666,8983,1987,man,white,NA,MD,degree_grad,incH_100to150,4,2,month_2-3,month_2-3,boxstores,7,4,1,1,1,4,30,50,Bamboo,fks,0.6,30,1,0,0,0,0,1
