respID,qID,altID,obsID,price,quantity,material,setOptions,image,setOptions2
1,1,1,1,20,50,Bamboo,fk,Bamboofk.jpg, a fork and a knife.
1,1,2,1,25,150,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
1,1,3,1,20,150,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
1,2,1,2,30,150,Bamboo,fk,Bamboofk.jpg, a fork and a knife.
1,2,2,2,20,200,Eco,fk,Ecofk.jpg, a fork and a knife.
1,2,3,2,30,50,Plastic,fk,Plasticfk.jpg, a fork and a knife.
1,3,1,3,20,150,Bamboo,f,Bamboof.jpg, a fork only.
1,3,2,3,30,150,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
1,3,3,3,25,150,Plastic,f,Plasticf.jpg, a fork only.
1,4,1,4,30,200,Bamboo,f,Bamboof.jpg, a fork only.
1,4,2,4,20,200,Eco,fk,Ecofk.jpg, a fork and a knife.
1,4,3,4,25,50,Plastic,fk,Plasticfk.jpg, a fork and a knife.
1,5,1,5,30,150,Bamboo,fk,Bamboofk.jpg, a fork and a knife.
1,5,2,5,30,50,Eco,f,Ecof.jpg, a fork only.
1,5,3,5,30,50,Plastic,f,Plasticf.jpg, a fork only.
1,6,1,6,30,150,Bamboo,fk,Bamboofk.jpg, a fork and a knife.
1,6,2,6,20,200,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
1,6,3,6,20,150,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
1,7,1,7,25,150,Bamboo,fk,Bamboofk.jpg, a fork and a knife.
1,7,2,7,30,150,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
1,7,3,7,25,200,Plastic,f,Plasticf.jpg, a fork only.
1,8,1,8,20,50,Bamboo,fks,Bamboofks.jpg," a fork, a knife and a spoon."
1,8,2,8,20,50,Eco,f,Ecof.jpg, a fork only.
1,8,3,8,20,150,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
2,1,1,9,25,150,Bamboo,fk,Bamboofk.jpg, a fork and a knife.
2,1,2,9,25,50,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
2,1,3,9,20,200,Plastic,f,Plasticf.jpg, a fork only.
2,2,1,10,20,50,Bamboo,fks,Bamboofks.jpg," a fork, a knife and a spoon."
2,2,2,10,20,200,Eco,fks,Ecofks.jpg," a fork, a knife and a spoon."
2,2,3,10,20,150,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
2,3,1,11,25,50,Bamboo,fks,Bamboofks.jpg," a fork, a knife and a spoon."
2,3,2,11,25,200,Eco,fk,Ecofk.jpg, a fork and a knife.
2,3,3,11,30,200,Plastic,fks,Plasticfks.jpg," a fork, a knife and a spoon."
2,4,1,12,30,200,Bamboo,f,Bamboof.jpg, a fork only.
2,4,2,12,30,200,Eco,fk,Ecofk.jpg, a fork and a knife.
